what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706429366
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706431880
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706432655
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706438448
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1273706461462
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273706462354
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273706462902
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1273706464090
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706464454
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706478447
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706484762
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706496437
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273706508588
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1273706514695
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.edit.text.c.format",1273706516890
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.edit.text.c.indent",1273706517703
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273706518969
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273706528478
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273706529518
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273706535501
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706559654
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706559896
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706578284
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706578561
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1273706591443
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273706592142
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273706596899
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706603133
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706603504
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273706625450
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1273706627644
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273706628404
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273706629705
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706645668
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706647258
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273706648964
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273706655487
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273706662292
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273706674569
activated,editor,org.eclipse.emf.mwe.ui.simpleEditor,,"org.eclipse.emf.mwe.ui.internal.simpleEditor.WorkflowEditor",1273706675979
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273706676686
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273706677984
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273706682051
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273706686522
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273706688780
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706695665
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706696611
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1273706696670
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1273706696969
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706697321
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706702094
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706702603
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706705174
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273706708018
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273706710155
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706728670
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706729168
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1273706732247
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273706734087
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273706736513
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706746083
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706747786
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273706751815
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273706753769
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273706759836
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1273706762342
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706762825
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706762862
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273706765050
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1273706766355
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706766814
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706769443
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273706776203
activated,editor,org.eclipse.emf.mwe.ui.simpleEditor,,"org.eclipse.emf.mwe.ui.internal.simpleEditor.WorkflowEditor",1273706781208
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273706782701
closed,editor,org.eclipse.emf.mwe.ui.simpleEditor,,"org.eclipse.emf.mwe.ui.internal.simpleEditor.WorkflowEditor",1273706782701
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1273706782743
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273706785422
activated,editor,org.eclipse.emf.mwe.ui.simpleEditor,,"org.eclipse.emf.mwe.ui.internal.simpleEditor.WorkflowEditor",1273706787770
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273706788533
closed,editor,org.eclipse.emf.mwe.ui.simpleEditor,,"org.eclipse.emf.mwe.ui.internal.simpleEditor.WorkflowEditor",1273706788534
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1273706788565
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273706790140
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1273706795460
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.edit.text.c.format",1273706796744
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.edit.text.c.indent",1273706797474
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273706797953
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273706799853
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712372546
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712374041
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712375090
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712380276
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712380953
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712382086
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712382876
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712383497
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712384185
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712384262
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712384783
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712393967
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712395226
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712395275
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712396389
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712396493
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712397069
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712397390
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712403796
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712404897
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712544226
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1273712547023
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273712548301
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273712550137
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273712551190
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1273712551690
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1273712557215
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712557512
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712612914
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273712622796
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273712625902
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273712634059
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712634514
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273712635110
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1273712635486
